"単語", "意味", "例文"
"pessimistic", "悲観的な", ""
"optimistic", "楽観的な", ""
"affirmative", "積極的な,前向きな", ""
"constructive", "積極的な,前向きな", ""
"aptitude", "素質,適性", ""
"impartial", "公平な(fair/just),偏りがない", ""
"partial", "不公平な(unfair/unjust),偏っている", ""
"come what may", "何があっても,とにかく(whatever happens/ regardless)", ""
"national anthem", "国歌", ""
"nationality", "国籍", ""
"in the original", "原書で,原語で", ""
"faint", "かすかな,微妙な(subtle/delicate/slight)", "7. A woman passed by me giving off a subtle scent of perfume. It remainded me of my ex-girlfriend."
"be beside oneself (with ...)", "(...(怒り･悲しみなど)で)ひどく興奮する,取り乱す", "10. Bob was so beside himself that he could scarcely tell fact from fiction."
"be in a frenzy", "ひどく興奮する,取り乱す", ""
"be frantic", "ひどく興奮する,取り乱す", ""
"at times", "たまに,時々(sometimes/ once in a while/ now and then/ from time to time/ occasionally/ on occasion)", "16. At times I confuse ""curve"" with ""carve."""
"move over", "(人が座れるように)積を詰める", "20. ""Could you move over a little?"" ""Oh, sorry. I didn't realize I was taking up so much space."""
"take up ...", "(必要以上に)...(空間･時間など)を取る(occupy...)", ""
"conceptual", "抽象的な(abstruct/metaphysical)", ""
"buck", "①ドル(dollar)②雄ジカ(male deer)", "22. I begged Richie to lend me a hundred bucks, but he shook his head, saying, ""I'm broke, too."""
"aptitude", "才能,適性(tallent/ability)", "23. ""I'm apt to buy things on impulse whenever something is on sale."" ""So am I."""
"impulsive", "衝動的な", ""
"as it is", "実際のところ", "24. As it is, ordinary people cannot afford to purchase such luxuries."
"competent", "(要求される一定の)能力[技能]を持つ,適格の(able/capable/proficient/qualified)", "28. Competent mechanics are in great demand, so they earn decent wages."
"decent", "かなりよい(satisfactory/respectable/good enough/adequate)", ""
"no doubt", "きっと(certainly/surely/probably)", "30. His policy will no doubt lead to dismal consequences. It needs a thorough review."
"doubtful", "①(人が)疑っている②(物事が)起こりそうにない", ""
"dubious", "(人が)半信半疑の, (物事の)真偽が疑わしい", ""
"dismal", "(結果･状況などが)気分を暗くさせる(very bad/gloomy)", ""
"gloomy", "(結果･状況などが)気分を暗くさせる", ""
"as a(in) consequence", "その結果(as a result)", ""
"consequently", "その結果(therefore/as a result)", ""
"thorough", "①(調査などが)徹底的な②(人が)徹底主義者の,几帳面な", ""
"vacancy", "①(部屋などの)空き②(職･ポストの)空き,空席", "No vacancy. 満室"
"in all likelihood", "ほぼ間違いなく", "35. In all likelihood, the birthrate will continue to decline steadily for years to come."
"... to come", "これから来る...", ""
"county", "(米国の)群,州", "36. The power plant supplies the remote county with electricity."
"power plant", "発電所", ""
"prospective", "将来性(latent/potential)", ""
"danger", "危険(な状況),危険性(hazard/peril/risk/jeopardy)", "39. One cannot emphasize too much the potential danger of nuclear energy."
"peril", "危険", ""
"jeopardy", "危険", ""
"if anything", "むしろ,どちらかといえば(rather)", "40. For years the press overlooked the problem. But now, if anything, they are making too much of it."
"if any", "[数量が]たとえあったとしても(...だけ),もしあれば", ""
"make ... of A", "Aに対して...な評価をする", ""
"cultivated", "①教養のある②(土地が)耕作された", ""
"institutional", "制度の,制度上の", "In recent years, institutional accounting in Japan has changed remarkably."
"an institutional investor", "機関投資家", ""
"by far", "はるかに,間違いなく", "43. Why don't you consult Starr in person? He's by far the most prominent attorney around here."
"attorney", "弁護士,法定代理人(lawyer/counselor)", ""
"insurance", "保険", "45. The lawyer recommended that his client take legal action against the insurance company."
"warehouse", "倉庫", "I'm going to Warehouse Number 3 now to do other work until 7 P.M."
"shortly", "まもなく", ""
"cautiously", "注意して", ""
"passively", "消極的に,逆らわずに", ""
"emvironmetally friendly company", "環境にやさしい企業", "The company responsible for Green Gravy is well known as an environmentally friendly company."
"reimburse ...", "...に(A(金額)を)返す", "1643. reimburse the expense 経費を払い戻す"
"redeem a loan", "融資を完済する", ""
"acquisition", "買収", "Unless proactive measures for survival are taken, Sandmouth's acquisition of Bertbrand Ales is likely happen."
"conglomerate", "大企業", "Appealing as the prospect may be → Though the prospect may be appealing"
"come into effect", "効果を表す", ""
"interbank rate", "銀行間の金利", "Due to government's recent economic policies, the interbank rate has dropped for five consecutive days and reached a record low."
"proactive measures", "早期対応", "Given her reputation for being inconsistent. Sarkinson Enterprise's new policymaker will need to take proactive measures to ensure colleagues of her dependability."
"accommodate ...", "①(施設などが)...(人数)分の十分なスペースがある②...(人)に(宿泊場所などの)便宜をはかる", "305. The motel can accommodate as many as 400 guests."
"accommodation charge", "宿泊料", ""
"dependability", "信頼性", ""
"entail", "含意", ""
"rote learning", "暗記学習", ""
"hone", "研ぐ", "Use them to hone your problem solving skills, but go to them only after you have mage major inroads into the earlier chapters."
"reportedly", "伝えられるところによると", "On August 19, a Mexican radio journalist, Jacinto Romero, was murdered after reportedly receiving threats related to his work."
"sheer ...", "全くの...", "216. He recalled that collision had avoided by sheer luck."
"collede", "①(移動するもの同士が)衝突する(crash)②(意見などが)衝突する(clash/conflict)", ""
"get in touch (with ...)", "(...と)連絡を取る", "217. In case of an emergency, get in touch with my agent right away."
"right away", "すぐに,ただちに", ""
